,Match ID,Player ID,Rank,Rank Gain,Team,K,D,A,+/-,K/D,ADR,HS%,KAST,Rating,EF,FA,EBT,UD,FKD,FK,FD,FK as T,FD as T,FK as CT,FD as CT,Trade K,Trade D,Trade FK,Trade FD,Trade FK as T,Trade FD as T,Trade FK as CT,Trade FD as CT,1vX,1v5,1v4,1v3,1v2,1v1,3K+,5K,4K,3K,2K,1K
1,79000008,7656119887337400,13,0,1,12,17,2,-5,0.70,73.9,33%,63.2%,0.85,0,0,0s,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,6
2,79000008,7656119822187486,13,0,1,11,18,2,-7,0.60,58,36%,52.6%,0.64,6,0,21.9s,0,-2,1,3,1,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4
3,79000008,7656119807003569,13,0,1,11,18,0,-7,0.60,48.9,64%,68.4%,0.72,3,0,8.4s,0,-2,1,3,1,3,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7
4,79000008,7656119828680034,14,0,1,6,18,2,-12,0.30,53.6,100%,47.4%,0.36,2,0,6.2s,0,-4,0,4,0,4,0,0,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
5,79000008,7656119908178611,15,0,2,20,11,4,9,1.80,114.3,40%,94.7%,1.75,12,0,36.3s,20,7,8,1,1,0,7,1,3,4,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,4,9
6,79000008,7656119827865153,15,1,2,19,12,1,7,1.60,92.2,11%,84.2%,1.51,12,0,19s,25,2,2,0,1,0,1,0,2,4,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,5,9
7,79000008,7656119814535465,15,1,2,18,9,3,9,2.00,87.9,28%,94.7%,1.63,0,0,0s,54,2,3,1,1,0,2,1,4,2,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,14
8,79000008,7656119829217254,15,1,2,16,12,6,4,1.30,108.2,38%,84.2%,1.46,5,0,17.3s,52,1,2,1,1,0,1,1,1,1,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,4,8
9,79000008,7656119805505474,14,0,2,15,12,4,3,1.30,70.4,27%,78.9%,1.24,6,0,7.6s,53,1,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
0,79000007,7656119897308724,9,0,1,14,16,0,-2,0.90,94.6,100%,58.8%,1.01,25,0,58.9s,0,-1,2,3,1,3,1,0,3,2,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,2,2,4
1,79000007,7656119819565114,8,0,1,10,17,0,-7,0.60,78.5,50%,52.9%,0.68,3,0,8.8s,7,1,4,3,4,2,0,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,5
2,79000007,7656119807196469,7,0,1,7,17,2,-10,0.40,67.9,43%,41.2%,0.42,2,0,6.9s,0,1,3,2,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
3,79000007,7656119923171822,5,0,1,1,5,0,-4,0.20,5.5,0%,11.8%,0.06,1,0,1.5s,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,79000007,7656119817187049,1,0,1,1,9,0,-8,0.10,8.2,100%,17.6%,-0.01,0,0,0s,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,79000007,7656119884500380,9,0,2,21,6,2,15,3.50,113.8,29%,88.2%,1.97,7,0,10.7s,10,1,3,2,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,7
6,79000007,7656119916177687,4,0,2,13,5,3,8,2.60,81.2,38%,88.2%,1.50,9,0,7.8s,22,0,2,2,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,8
7,79000007,7656119837943737,8,0,2,12,5,2,7,2.40,68.3,33%,82.4%,1.35,7,0,17.3s,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7
8,79000007,7656119923092364,8,0,2,7,5,1,2,1.40,35.6,43%,76.5%,0.95,6,0,9.8s,7,-1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
9,79000007,7656119938955042,,0,2,6,12,4,-6,0.50,46,50%,76.5%,0.73,1,0,4.8s,14,-2,1,3,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,79000006,7656119828214797,9,0,1,13,12,3,1,1.10,95.8,23%,60%,1.16,19,0,33.7s,15,3,3,0,1,0,2,0,3,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,2,5
1,79000006,7656119817179497,9,0,1,11,12,0,-1,0.90,57.5,0%,60%,0.90,11,0,24.1s,22,-2,0,2,0,1,0,1,2,1,1,1,0,0,1,1,1,0,0,0,0,1,2,0,0,2,0,5
2,79000006,7656119797723161,9,0,1,8,13,1,-5,0.60,58.8,0%,53.3%,0.65,14,1,23.3s,39,-1,0,1,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
3,79000006,7656119902081457,9,0,1,7,14,5,-7,0.50,80.5,57%,66.7%,0.75,12,1,35.9s,0,-3,1,4,1,3,0,1,1,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5
4,79000006,7656119895141757,8,0,1,5,13,4,-8,0.40,58.3,40%,66.7%,0.59,5,1,11.7s,0,-2,1,3,0,2,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,79000006,7656119814606923,9,0,2,24,8,0,16,3.00,149.6,42%,100%,2.38,10,0,21.1s,85,4,4,0,2,0,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,4,7
6,79000006,7656119809487380,8,0,2,16,11,2,5,1.50,92.7,31%,86.7%,1.54,5,1,8.9s,47,1,2,1,1,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5
