,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
122,Wed 7th Sep 22,,de_dust2,16:10,,,22,13,3,9,41,89,0,0,0,0,0,0,1,0,1.45,View Match
123,Wed 7th Sep 22,,de_mirage,9:16,,,16,18,4,-2,63,76,0,0,0,0,1,0,0,1,1.02,View Match
124,Wed 7th Sep 22,,cs_office,2:16,,,13,16,2,-3,38,83,0,0,0,0,0,0,0,1,0.94,View Match
125,Wed 7th Sep 22,,de_dust2,16:14,,,12,23,7,-11,50,65,0,0,0,0,0,0,0,0,0.72,View Match
126,Wed 7th Sep 22,,de_train,16:6,,,13,16,5,-3,46,85,0,0,1,1,1,0,0,0,1.05,View Match
127,Tue 6th Sep 22,,de_dust2,8:16,,,16,17,3,-1,31,80,0,0,0,0,1,0,0,0,0.99,View Match
128,Tue 6th Sep 22,,de_mirage,15:15,,,21,23,10,-2,24,90,0,0,0,0,0,0,0,0,1.22,View Match
129,Tue 6th Sep 22,,de_cache,7:16,,,14,17,1,-3,21,60,0,0,0,0,0,0,0,0,0.9,View Match
130,Tue 6th Sep 22,,de_mirage,16:5,,,26,11,4,15,42,124,0,0,0,0,0,0,0,3,1.98,View Match
131,Tue 6th Sep 22,,de_cache,12:16,,,17,19,5,-2,71,75,0,0,0,0,1,0,0,1,0.98,View Match
132,Fri 2nd Sep 22,,de_dust2,16:10,,,21,13,4,8,52,94,0,0,0,0,0,0,0,1,1.35,View Match
133,Fri 2nd Sep 22,,de_inferno,11:16,,,13,23,5,-10,31,57,0,0,0,0,0,0,0,0,0.69,View Match
134,Fri 2nd Sep 22,,de_dust2,13:16,,,20,24,9,-4,40,93,0,0,0,0,1,0,0,0,1.08,View Match
135,Fri 2nd Sep 22,,de_mirage,9:7,,,10,11,5,-1,20,82,0,0,0,1,0,0,0,1,1.04,View Match
136,Fri 2nd Sep 22,,de_inferno,9:2,,,16,5,0,11,31,102,0,0,0,0,1,0,0,3,2.01,View Match
137,Fri 2nd Sep 22,,de_mirage,9:2,,,9,7,2,2,67,65,0,0,0,0,0,0,0,1,1.19,View Match
138,Fri 2nd Sep 22,,de_dust2,6:9,,,8,10,2,-2,38,60,0,0,0,1,1,0,0,0,0.91,View Match
139,Fri 2nd Sep 22,,de_dust2,9:7,,,20,11,3,9,35,114,0,0,0,0,1,0,1,2,1.76,View Match
140,Fri 2nd Sep 22,,de_vertigo,9:6,,,11,11,3,0,36,86,0,0,0,0,0,0,0,0,1.24,View Match
141,Fri 2nd Sep 22,,de_mirage,12:16,,,25,21,5,4,48,96,0,0,0,0,0,0,0,2,1.24,View Match
142,Fri 2nd Sep 22,,de_dust2,16:8,,,11,17,6,-6,18,64,0,0,0,0,0,0,0,0,0.8,View Match
143,Thu 1st Sep 22,,de_mirage,11:16,,,17,23,2,-6,53,71,0,0,0,0,0,0,0,1,0.8,View Match
144,Thu 1st Sep 22,,de_ancient,2:16,,,11,17,2,-6,36,63,0,0,0,0,0,0,0,0,0.71,View Match
145,Thu 1st Sep 22,,de_vertigo,13:16,,,20,24,7,-4,45,95,0,0,0,0,0,0,0,2,1.03,View Match
146,Thu 1st Sep 22,,de_dust2,16:12,,,26,16,4,10,23,80,0,0,0,2,0,0,1,1,1.47,View Match
147,Thu 1st Sep 22,,de_mirage,16:2,,,16,8,4,8,31,86,0,0,0,0,0,0,2,0,1.55,View Match
148,Thu 1st Sep 22,,de_dust2,15:15,,,31,22,5,9,35,106,0,0,0,1,0,0,0,2,1.44,View Match
149,Thu 1st Sep 22,,de_dust2,14:16,,,17,24,4,-7,29,77,0,0,0,0,0,0,0,2,0.85,View Match
150,Thu 1st Sep 22,,de_dust2,9:16,,,18,18,2,0,50,77,0,0,0,0,1,0,1,1,0.94,View Match
151,Thu 1st Sep 22,,de_overpass,11:16,,,23,22,7,1,52,99,0,0,0,0,0,0,0,3,1.31,View Match
152,Wed 31st Aug 22,,de_dust2,6:16,,,17,19,1,-2,53,89,0,0,0,0,0,0,1,0,1.06,View Match
153,Wed 31st Aug 22,,de_vertigo,8:16,,,23,18,6,5,52,99,0,0,0,2,1,1,0,2,1.36,View Match
